,Unnamed: 0,Source language,Translation 1,Translation 2,Translation 3,Translation 4,Translation 5
0,0,"Tet ( a ) → ( ( Smaller ( b , c ) → FrontOf ( d , d ) ) ∨ ( SameShape ( b , a ) ∨ Student ( a ) ) )","if a is a tetrahedron , then at least one of these holds : \item if b is smaller than c , then d is in front of itself , b is of the same shape as a \item a is a student",0,0,0,0
1,1,Person ( a ) ∧ ∃ x1 ( Student ( b ) ∨ Small ( a ) ),a is a person and there is an element x1 such that b is a student or a is small,0,0,0,0
2,2,"¬ ¬ ∀ x1 SameShape ( a , a )","it is not the case that it is not the case that for all x1 , a is of the same shape as itself",0,0,0,0
3,3,"∃ x1 ( Larger ( x1 , a ) → Large ( x1 ) ) ∧ ( ∃ x1 Student ( x1 ) ∧ ( Dodec ( a ) → Medium ( a ) ) )","all these hold : \item there is an element x1 such that if x1 is larger than a , then x1 is large , there is an element x1 such that x1 is a student \item if a is a dodecahedron , then a is medium",0,0,0,0
4,4,¬ ∀ x1 ( Small ( x1 ) ∧ Even ( x1 ) ),"it is not the case that for all x1 , x1 is small and even",0,0,0,0
5,5,"( ∀ x1 Medium ( a ) ∨ ( Student ( a ) ∨ Small ( b ) ) ) ∧ ( ¬ Even ( b ) ∨ ∃ x2 Larger ( c , c ) )","all these hold : \item for all x1 , a is medium , a is a student or b is small \item b is not even or there is an element x2 such that c is larger than itself",0,0,0,0
6,6,"∃ x1 ( LeftOf ( x1 , a ) ∨ ( Medium ( a ) ∧ Medium ( a ) ) )",there is an element x1 such that x1 is to the left of a or a is medium and medium,0,0,0,0
7,7,"∃ x1 ( ∃ x1 BackOf ( x1 , a ) → Large ( x1 ) )","there is an element x1 such that if there is an element x1 such that x1 is in back of a , then x1 is large",0,0,0,0
8,8,∃ x1 ∃ x2 ( Person ( x1 ) ∧ Small ( x2 ) ),there is an element x1 such that there is an element x2 such that x1 is a person and x2 is small,0,0,0,0
9,9,∃ x1 ( ( Tet ( x1 ) ∨ Pet ( x1 ) ) ∨ ¬ Prime ( a ) ),"there is an element x1 such that x1 is a tetrahedron , x1 is a pet or a is not a prime",0,0,0,0
10,10,∀ x1 ( ( Person ( x1 ) ∧ Large ( x1 ) ) ∨ Large ( x1 ) ),"for all x1 , at least one of these holds : \item x1 is a person and x1 is large \item x1 is large",0,0,0,0
11,11,"∃ x1 ( ( Pet ( a ) ∧ FrontOf ( x1 , a ) ) ∨ ( Pet ( a ) → Tet ( b ) ) )","there is an element x1 such that at least one of these holds : \item a is a pet and x1 is in front of a \item if a is a pet , then b is a tetrahedron",0,0,0,0
12,12,"∀ x1 ( Pet ( x1 ) → BackOf ( a , x1 ) ) ∨ ∀ x1 Adjoins ( a , b )","a is in back of every pet or for all x1 , a is adjacent to b",0,0,0,0
13,13,Dodec ( a ) → ∃ x1 ∀ x2 Small ( b ),"if a is a dodecahedron , then there is an element x1 such that for all x2 , b is small",0,0,0,0
14,14,∀ x1 ( Small ( x1 ) ∨ Small ( a ) ) ∨ Dodec ( a ),"for all x1 , x1 or a is small or a is a dodecahedron",0,0,0,0
15,15,"Adjoins ( a , b ) → ( ( Person ( b ) → FrontOf ( a , b ) ) ∧ ( Small ( c ) ∧ Small ( b ) ) )","if a is adjacent to b , then all these hold : \item if b is a person , then a is in front of b , c is small \item b is small",0,0,0,0
16,16,"∀ x1 ¬ Smaller ( x1 , x1 ) ∧ ( ( Small ( a ) ∨ Dodec ( a ) ) ∨ Large ( b ) )","all these hold : \item for all x1 , x1 is not smaller than x1 \item a is small , a is a dodecahedron or b is large",0,0,0,0
17,17,"∃ x1 ( Adjoins ( a , x1 ) → SameShape ( b , a ) ) → ( ∀ x1 Even ( x1 ) ∧ ¬ Large ( b ) )","if there is an element x1 such that if a is adjacent to x1 , then b is of the same shape as a , then for all x1 , x1 is even and b is not large",0,0,0,0
18,18,"¬ ¬ ¬ SameCol ( a , a )",it is not the case that it is not the case that a is not in the same column as a,0,0,0,0
19,19,"∀ x1 ( Cube ( x1 ) ∧ SameShape ( x1 , a ) ) ∧ ( ( Smaller ( b , a ) → Small ( c ) ) ∨ Large ( a ) )","for all x1 , x1 is a cube and x1 is of the same shape as a and at least one of these holds : \item if b is smaller than a , then c is small \item a is large",0,0,0,0
20,20,"∃ x1 ( ( SameShape ( a , x1 ) → Tet ( x1 ) ) → ¬ Student ( x1 ) )","there is an element x1 such that if if a is of the same shape as x1 , then x1 is a tetrahedron , then x1 is not a student",0,0,0,0
21,21,"∃ x1 ¬ ∃ x2 SameShape ( a , b )",there is an element x1 such that it is not the case that there is an element x2 such that a is of the same shape as b,0,0,0,0
22,22,"¬ ( Tet ( a ) ∧ RightOf ( a , b ) ) ∧ ( ( Cube ( b ) ∧ Cube ( a ) ) → ∀ x1 Medium ( x1 ) )","all these hold : \item it is not the case that a is a tetrahedron and a is to the right of b \item if b is a cube and a is a cube , then for all x1 , x1 is medium",0,0,0,0
23,23,"∀ x1 ∃ x2 ( SameSize ( x2 , x2 ) ∧ Even ( a ) )","for all x1 , there is an element x2 such that x2 is of the same size as itself and a is even",0,0,0,0
24,24,¬ ∃ x1 ∀ x2 Person ( a ),"it is not the case that there is an element x1 such that for all x2 , a is a person",0,0,0,0
25,25,"( ∃ x1 RightOf ( a , a ) → ( Large ( a ) ∧ Student ( b ) ) ) ∧ ( ¬ Person ( b ) ∨ Pet ( c ) )","all these hold : \item if there is an element x1 such that a is to the right of itself , then a is large and b is a student \item b is not a person or c is a pet",0,0,0,0
